-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 5 1 5

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=290358, spec=[0, 5, 1, 5], text=False, value_loss_coef=0.5)

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 5 1 5

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=929199, spec=[0, 5, 1, 5], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

Optimizer loaded

U 1 | F 002048 | FPS 0671 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.827 | V -0.621 | pL -0.107 | vL 0.001 | ∇ 0.069
U 1 | F 002048 | FPS 0675 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.902 | V 0.165 | pL 0.032 | vL 0.001 | ∇ 0.059
U 2 | F 004096 | FPS 0669 | D 6 | rR:μσmM 0.02 0.09 0.00 0.37 | F:μσmM 14.2 55.2 0.0 228.0 | H 1.854 | V -0.506 | pL -0.100 | vL 0.004 | ∇ 0.100
U 2 | F 004096 | FPS 0669 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.925 | V 0.127 | pL 0.021 | vL 0.000 | ∇ 0.025
U 3 | F 006144 | FPS 0670 | D 9 | rR:μσmM 0.02 0.09 0.00 0.37 | F:μσmM 318.0 23.2 228.0 324.0 | H 1.897 | V -0.396 | pL -0.132 | vL 0.010 | ∇ 0.140
U 3 | F 006144 | FPS 0674 | D 9 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.924 | V 0.099 | pL 0.034 | vL 0.001 | ∇ 0.041
U 4 | F 008192 | FPS 0672 | D 12 | rR:μσmM 0.02 0.09 0.00 0.37 | F:μσmM 318.0 23.2 228.0 324.0 | H 1.913 | V -0.321 | pL -0.055 | vL 0.000 | ∇ 0.060
U 4 | F 008192 | FPS 0673 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.933 | V 0.089 | pL 0.016 | vL 0.000 | ∇ 0.021
U 5 | F 010240 | FPS 0674 | D 15 | rR:μσmM 0.04 0.11 0.00 0.44 | F:μσmM 313.9 30.5 202.0 324.0 | H 1.924 | V -0.253 | pL -0.055 | vL 0.003 | ∇ 0.052
U 5 | F 010240 | FPS 0670 | D 15 | rR:μσmM 0.01 0.05 0.00 0.22 | F:μσmM 321.3 10.4 281.0 324.0 | H 1.933 | V 0.074 | pL 0.012 | vL 0.000 | ∇ 0.018
U 6 | F 012288 | FPS 0674 | D 18 | rR:μσmM 0.04 0.11 0.00 0.44 | F:μσmM 313.9 30.5 202.0 324.0 | H 1.921 | V -0.198 | pL -0.045 | vL 0.002 | ∇ 0.057
U 6 | F 012288 | FPS 0676 | D 18 | rR:μσmM 0.01 0.05 0.00 0.22 | F:μσmM 321.3 10.4 281.0 324.0 | H 1.934 | V 0.060 | pL 0.015 | vL 0.000 | ∇ 0.015
U 7 | F 014336 | FPS 0669 | D 21 | rR:μσmM 0.03 0.12 0.00 0.51 | F:μσmM 314.8 35.8 176.0 324.0 | H 1.911 | V -0.159 | pL -0.038 | vL 0.002 | ∇ 0.042
U 7 | F 014336 | FPS 0671 | D 21 | rR:μσmM 0.03 0.12 0.00 0.50 | F:μσmM 315.1 34.6 181.0 324.0 | H 1.936 | V 0.056 | pL 0.005 | vL 0.001 | ∇ 0.018
U 8 | F 016384 | FPS 0674 | D 24 | rR:μσmM 0.03 0.12 0.00 0.51 | F:μσmM 314.8 35.8 176.0 324.0 | H 1.917 | V -0.123 | pL -0.039 | vL 0.001 | ∇ 0.041
U 8 | F 016384 | FPS 0674 | D 24 | rR:μσmM 0.03 0.12 0.00 0.50 | F:μσmM 315.1 34.6 181.0 324.0 | H 1.940 | V 0.044 | pL 0.014 | vL 0.000 | ∇ 0.024
U 9 | F 018432 | FPS 0670 | D 27 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.931 | V -0.106 | pL -0.020 | vL 0.000 | ∇ 0.022
U 9 | F 018432 | FPS 0671 | D 27 | rR:μσmM 0.03 0.12 0.00 0.50 | F:μσmM 315.1 34.6 181.0 324.0 | H 1.941 | V 0.040 | pL 0.006 | vL 0.000 | ∇ 0.012
U 10 | F 020480 | FPS 0669 | D 30 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 321.1 11.4 277.0 324.0 | H 1.936 | V -0.087 | pL -0.021 | vL 0.000 | ∇ 0.035
Status saved
U 10 | F 020480 | FPS 0664 | D 30 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V 0.035 | pL 0.007 | vL 0.000 | ∇ 0.011
Status saved
U 11 | F 022528 | FPS 0681 | D 34 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 321.1 11.4 277.0 324.0 | H 1.927 | V -0.076 | pL -0.019 | vL 0.000 | ∇ 0.030
U 11 | F 022528 | FPS 0675 | D 34 | rR:μσmM 0.05 0.17 0.00 0.72 | F:μσmM 310.0 54.2 100.0 324.0 | H 1.936 | V 0.034 | pL 0.001 | vL 0.001 | ∇ 0.028
U 12 | F 024576 | FPS 0668 | D 37 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 321.1 11.4 277.0 324.0 | H 1.934 | V -0.061 | pL -0.013 | vL 0.000 | ∇ 0.016
U 12 | F 024576 | FPS 0672 | D 37 | rR:μσmM 0.08 0.22 0.00 0.72 | F:μσmM 298.3 68.3 100.0 324.0 | H 1.940 | V 0.021 | pL -0.000 | vL 0.001 | ∇ 0.034
U 13 | F 026624 | FPS 0675 | D 40 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.938 | V -0.043 | pL -0.014 | vL 0.000 | ∇ 0.013
U 13 | F 026624 | FPS 0669 | D 40 | rR:μσmM 0.08 0.22 0.00 0.72 | F:μσmM 298.3 68.3 100.0 324.0 | H 1.939 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.012
